n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;380;7.6;32;1;0.6294030439888297;0.41431451612903225;2.8519191919191917;3.4442942802983905;10;22;0.10609498791176969;True;ok;1;0.01;0.6;2
100;322;6.44;32;1;0.6344624615386497;0.4312829525483304;3.0472727272727274;2.7386348718699463;4;72;0.1687862424892257;True;ok;2;0.01;0.6;2
100;278;5.56;34;0;0.6293065850981652;0.3717117804041174;3.1220209723546235;2.6679826275617997;3;83;0.20040008706709492;True;ok;3;0.01;0.6;2
100;263;5.26;58;0;0.6064089302895485;0.26482345103264493;2.8998527245949925;2.7384162327591497;3;78;0.21404959393468007;True;ok;4;0.01;0.6;2
100;402;8.04;99;2;0.795387682685228;0.24374319912948858;1.9187878787878787;2.723733093879392;4;86;0.15651360811918907;True;ok;5;0.01;0.6;2
100;324;6.48;45;0;0.6395014707514711;0.3788059701492537;2.8251906823335395;2.4508290734672133;3;90;0.21900560091629107;True;ok;6;0.01;0.6;2
100;262;5.24;22;0;0.6035891330891331;0.47055492638731594;3.7875;3.6155354341893404;5;49;0.20408163265306123;True;ok;7;0.01;0.6;2
100;276;5.52;24;0;0.6055405744851161;0.3949685534591195;3.4544607500582343;2.5208551280240794;3;74;0.1891891891891892;True;ok;8;0.01;0.6;2
100;322;6.44;44;0;0.743434674565388;0.3825962910128388;2.9053803339517623;3.1596875439533663;5;57;0.16758772044457554;True;ok;9;0.01;0.6;2
100;334;6.68;99;1;0.745649271363557;0.1937244201909959;1.9325252525252525;2.5408273152924736;3;93;0.23978553848529127;True;ok;0;0.01;0.65;2
100;401;8.02;34;1;0.6433350512232863;0.418510158013544;2.7703030303030305;3.635679583752263;11;21;0.14285714285714285;True;ok;1;0.01;0.65;2
100;351;7.02;43;1;0.6426638272446331;0.3991311430898724;2.841010101010101;3.3741049476151455;6;52;0.15384615384615385;True;ok;2;0.01;0.65;2
100;297;5.94;41;0;0.6206211929545613;0.3408239700374532;2.982388316151203;2.6234323888547504;3;87;0.18923217050498053;True;ok;3;0.01;0.65;2
100;289;5.78;75;0;0.6587903428877112;0.22178447276940905;2.343022057307772;2.7095651172943516;3;84;0.2014720166135444;True;ok;4;0.01;0.65;2
100;424;8.48;99;2;0.7803894032720319;0.25273856578204407;1.9143434343434342;2.7373662320085135;4;93;0.17204301075268819;True;ok;5;0.01;0.65;2
100;348;6.96;52;0;0.6783234823162807;0.36971830985915494;2.647701504844362;2.8635890979937315;4;82;0.18292682926829268;True;ok;6;0.01;0.65;2
100;287;5.74;25;0;0.6073325857321212;0.4545882352941176;3.4219748505462793;2.942536097194128;4;69;0.17782758841216417;True;ok;7;0.01;0.65;2
100;297;5.94;27;0;0.6401652231211054;0.4025695931477516;3.3116701607267647;3.0853826243099207;6;36;0.19444444444444445;True;ok;8;0.01;0.65;2
100;359;7.18;57;0;0.7595421268571421;0.3328600405679513;2.494537208822923;3.4280065156450323;6;50;0.2;True;ok;9;0.01;0.65;2
100;348;6.96;99;1;0.7495184691592253;0.20292825768667644;1.9296969696969697;3.4625007199262194;8;21;0.19047619047619047;True;ok;0;0.01;0.7;2
100;438;8.76;37;2;0.6690742675494948;0.41135811694376984;2.642020202020202;3.339590726647353;11;23;0.08695652173913043;True;ok;1;0.01;0.7;2
100;382;7.64;54;1;0.6571666080661639;0.3766505973590442;2.584848484848485;3.0984082084717075;6;54;0.1383864144616302;True;ok;2;0.01;0.7;2
100;322;6.44;43;0;0.6451380867801234;0.31719445171421096;2.740053597196454;2.5223629129150797;3;90;0.21020171191062692;True;ok;3;0.01;0.7;2
100;319;6.38;88;1;0.7017275588396278;0.2093755466153577;2.1193939393939396;3.0608415925688113;4;73;0.21794525425015948;True;ok;4;0.01;0.7;2
100;447;8.94;99;2;0.7761700999427326;0.2615027437737442;1.9096969696969697;3.2228208485283876;8;36;0.16666666666666666;True;ok;5;0.01;0.7;2
100;384;7.68;58;0;0.701788992894799;0.36739659367396593;2.4982477839620696;2.701281664456547;4;87;0.16091954022988506;True;ok;6;0.01;0.7;2
100;306;6.12;27;0;0.6148381197405963;0.4439901880621423;3.2224283652855084;2.887660121718544;4;74;0.18159159036841843;True;ok;7;0.01;0.7;2
100;332;6.64;36;1;0.6829855474732713;0.38289150040994807;2.9997979797979797;2.3504057335168222;3;82;0.17557685234557932;True;ok;8;0.01;0.7;2
100;380;7.6;64;1;0.7910869725418023;0.3182211455269078;2.3723232323232324;2.7489726861066006;4;83;0.1686746987951807;True;ok;9;0.01;0.7;2
