n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;423;2.115;15;2.115;6;4.23;15;0.5572707078731175;166;0.45216606498194944;5.889284893078869;2;1.9;0.1;2
200;460;2.3;20;2.3;9;4.6;20;0.6415525217776511;173;0.5069470521967706;6.378420326511842;0;1.9;0.3;2
200;466;2.33;25;2.33;6;4.66;25;0.6466852724924975;184;0.4205710102489019;4.676661069800912;1;1.9;0.3;2
200;556;2.78;31;2.78;7;5.56;31;0.6124841880611821;183;0.4059838895281933;4.068375136314067;2;1.9;0.3;2
200;591;2.955;41;2.955;10;5.91;41;0.6811669342326317;185;0.4437413486256674;4.793992988331327;0;1.9;0.5;2
200;599;2.995;74;2.995;8;5.99;74;0.6801596467408043;194;0.30567555489349024;3.726308309222882;1;1.9;0.5;2
200;750;3.75;69;3.75;9;7.5;69;0.6954481518265889;197;0.3344685966142442;3.0648743718592963;2;1.9;0.5;2
200;812;4.06;109;4.06;11;8.12;109;0.7360578251300212;194;0.29993956892499835;2.8557000051794685;0;1.9;0.7;2
200;854;4.27;173;4.27;10;8.54;173;0.7323868416690971;198;0.19430725240447103;2.204070351758794;1;1.9;0.7;2
200;1099;5.495;173;5.495;12;10.99;173;0.7710061971953518;200;0.23837425595238096;2.1049748743718593;2;1.9;0.7;2
200;1159;5.795;197;5.795;13;11.59;197;0.7707630739891337;200;0.20131698350280383;1.9568341708542714;0;1.9;0.9;2
200;1111;5.555;199;5.555;12;11.11;199;0.7447017450801097;200;0.21066330814441644;1.9441708542713567;1;1.9;0.9;2
200;1541;7.705;199;7.705;13;15.41;199;0.7790666555584977;200;0.23878755699918797;1.9225628140703517;2;1.9;0.9;2
200;1338;6.69;199;6.69;14;13.38;199;0.7756763163280576;200;0.19196443778315223;1.9327638190954775;0;1.9;1.0;2
200;1281;6.405;199;6.405;13;12.81;199;0.7291081024407117;200;0.2185257810062837;1.9356281407035176;1;1.9;1.0;2
200;1773;8.865;199;8.865;16;17.73;199;0.7662402928650439;200;0.24730665284513717;1.9109045226130654;2;1.9;1.0;2
200;391;1.955;10;1.955;7;3.91;12;0.601962309147938;167;0.520916905444126;7.432213054269806;0;2.0;0.1;2
200;393;1.965;11;1.965;6;3.93;11;0.6085383146076788;173;0.46005830903790085;6.27328752567826;1;2.0;0.1;2
200;446;2.23;17;2.23;6;4.46;17;0.5817931117325581;170;0.45715440582053357;5.4157277535065536;2;2.0;0.1;2
200;487;2.435;21;2.435;10;4.87;21;0.6552108350991033;179;0.506956226671191;6.1153955525223225;0;2.0;0.3;2
200;479;2.395;28;2.395;7;4.79;28;0.6566077887609217;184;0.4171779141104294;4.593907411849364;1;2.0;0.3;2
200;576;2.88;32;2.88;7;5.76;32;0.618057893739281;186;0.40655105973025046;4.041390728476821;2;2.0;0.3;2
200;617;3.085;44;3.085;10;6.17;44;0.7032047320878401;187;0.44304707150556955;4.646015383810371;0;2.0;0.5;2
200;628;3.14;75;3.14;9;6.28;75;0.6815819584753157;196;0.31064237775647174;3.510481701436475;1;2.0;0.5;2
200;793;3.965;73;3.965;11;7.93;73;0.6923858330115039;198;0.3387096774193548;3.0081407035175878;2;2.0;0.5;2
200;840;4.2;114;4.2;11;8.4;114;0.7354722778988888;195;0.292787210311067;2.7076189982907755;0;2.0;0.7;2
200;888;4.44;177;4.44;10;8.88;177;0.7280324616947019;199;0.19793586435680058;2.1518090452261305;1;2.0;0.7;2
200;1149;5.745;174;5.745;12;11.49;174;0.7682906418062723;200;0.24763610735890057;2.0879396984924625;2;2.0;0.7;2
200;1210;6.05;197;6.05;13;12.1;197;0.7651655202896311;200;0.20717369644636333;1.9540201005025126;0;2.0;0.9;2
200;1157;5.785;199;5.785;12;11.57;199;0.7420478756266162;200;0.21912875225067857;1.941859296482412;1;2.0;0.9;2
200;1593;7.965;199;7.965;13;15.93;199;0.7759314378036731;200;0.24528953413304908;1.9199497487437185;2;2.0;0.9;2
200;1388;6.94;199;6.94;14;13.88;199;0.7758506536061606;200;0.19791616186091593;1.9302512562814071;0;2.0;1.0;2
200;1327;6.635;199;6.635;14;13.27;199;0.7244373684322829;200;0.22457428193418974;1.9333165829145729;1;2.0;1.0;2
200;1838;9.19;199;9.19;16;18.38;199;0.7604082944688645;200;0.25281454613971455;1.907638190954774;2;2.0;1.0;2
