n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;778;15.56;45;4;0.5992117436376155;0.4957673106142826;2.2206060606060607;3.7420553988981293;12;72;0;0.05;0.13;2
100;1000;20.0;42;4;0.6258581956126483;0.5295431052305147;2.0713131313131314;2.7309639851149923;11;88;1;0.05;0.13;2
100;978;19.56;39;7;0.611174649196724;0.5280988255112068;2.0945454545454547;4.794753885158706;20;48;2;0.05;0.13;2
100;750;15.0;32;3;0.5832998554936397;0.5054536440257809;2.315757575757576;4.212001533071778;13;61;3;0.05;0.13;2
100;703;14.06;34;4;0.5872735972329266;0.5043196544276458;2.3507070707070707;4.270493587524374;13;57;4;0.05;0.13;2
100;935;18.7;75;7;0.63638886981195;0.5049350649350649;1.996969696969697;5.088260764534718;23;28;5;0.05;0.13;2
100;853;17.06;41;4;0.6227565723693185;0.5147480775852175;2.1943434343434345;4.87893723158626;21;32;6;0.05;0.13;2
100;812;16.24;35;4;0.6098958782080777;0.505329235597986;2.2006060606060607;2.999101322254478;10;85;7;0.05;0.13;2
100;782;15.64;36;5;0.5834703437917695;0.5091714104996837;2.283838383838384;6.292930791550389;23;20;8;0.05;0.13;2
100;867;17.34;41;4;0.6080798368095247;0.5143153407454346;2.1822222222222223;7.159054490852292;28;11;9;0.05;0.13;2
100;786;15.72;47;4;0.6004102477738735;0.4957627118644068;2.2076767676767677;5.464004190157753;25;10;0;0.05;0.14;2
100;1012;20.24;43;4;0.6300724977565668;0.5294402518261431;2.061818181818182;2.7371592386034242;11;90;1;0.05;0.14;2
100;989;19.78;39;7;0.6122226987537721;0.5282250686184813;2.082222222222222;4.898902451844315;20;51;2;0.05;0.14;2
100;763;15.26;34;3;0.5863851130161529;0.5055806221800048;2.294949494949495;5.85908764642203;18;30;3;0.05;0.14;2
100;709;14.18;36;4;0.5892455432515324;0.5025165562913907;2.328080808080808;5.58164637451148;18;24;4;0.05;0.14;2
100;943;18.86;79;7;0.6395321460558739;0.5022549470777726;1.9668686868686869;4.72976929400531;22;31;5;0.05;0.14;2
100;862;17.24;42;4;0.6259860384101197;0.5137459942654747;2.1763636363636363;4.7571989283509515;21;32;6;0.05;0.14;2
100;818;16.36;35;4;0.6137746053478113;0.5074424898511503;2.1945454545454544;2.9972881242908502;10;86;7;0.05;0.14;2
100;794;15.88;37;5;0.5880099480189038;0.5092303515678024;2.257575757575758;5.875009264788973;23;20;8;0.05;0.14;2
100;879;17.58;42;5;0.6125972350506355;0.5145056906940415;2.1575757575757577;6.500452980144471;28;11;9;0.05;0.14;2
100;794;15.88;49;4;0.604536023291265;0.4949752202643172;2.1925252525252525;4.943286088276613;24;11;0;0.05;0.15;2
100;1019;20.38;43;4;0.6337161153818279;0.5302403310520452;2.0565656565656565;2.7394808541281654;11;91;1;0.05;0.15;2
